Gene stable ID,Gene name
ENSRNOG00000031780,AY172581.13
ENSRNOG00000030478,AY172581.9
ENSRNOG00000029171,AY172581.3
ENSRNOG00000043866,AY172581.24
ENSRNOG00000032112,AY172581.14
ENSRNOG00000030644,Mt-nd1
ENSRNOG00000029301,AY172581.4
ENSRNOG00000033545,AY172581.21
ENSRNOG00000032274,AY172581.15
ENSRNOG00000031033,Mt-nd2
ENSRNOG00000029677,AY172581.6
ENSRNOG00000033932,AY172581.22
ENSRNOG00000032609,AY172581.18
ENSRNOG00000031333,AY172581.10
ENSRNOG00000029954,AY172581.7
ENSRNOG00000034234,Mt-co1
ENSRNOG00000032882,AY172581.19
ENSRNOG00000031685,AY172581.12
ENSRNOG00000030371,Mt-co2
ENSRNOG00000029070,AY172581.1
ENSRNOG00000033299,Mt-atp8
ENSRNOG00000031979,Mt-atp6
ENSRNOG00000030700,Mt-co3
ENSRNOG00000029389,AY172581.5
ENSRNOG00000033615,Mt-nd3
ENSRNOG00000032320,AY172581.16
ENSRNOG00000031053,Mt-nd4l
ENSRNOG00000029707,Mt-nd4
ENSRNOG00000033957,AY172581.23
ENSRNOG00000032578,AY172581.17
ENSRNOG00000031667,AY172581.11
ENSRNOG00000029971,Mt-nd5
ENSRNOG00000029042,Mt-nd6
ENSRNOG00000032997,AY172581.20
ENSRNOG00000031766,Mt-cyb
ENSRNOG00000030339,AY172581.8
ENSRNOG00000029145,AY172581.2
ENSRNOG00000056933,AABR07058420.1
ENSRNOG00000053465,AABR07028186.1
ENSRNOG00000056802,AABR07028749.2
ENSRNOG00000058088,LOC102550206
ENSRNOG00000050313,AABR07044765.1
ENSRNOG00000018762,Rsph3
ENSRNOG00000000415,Asf1a
ENSRNOG00000057065,AABR07027457.2
ENSRNOG00000013102,Entpd2
ENSRNOG00000058883,NEWGENE_1589866
ENSRNOG00000040242,Epm2a
ENSRNOG00000007027,Hgf
ENSRNOG00000056734,Gm24656
ENSRNOG00000035582,Mir26a
ENSRNOG00000036402,AABR07026936.1
ENSRNOG00000014268,Abca2
ENSRNOG00000003508,Ergic1
ENSRNOG00000055473,AABR07010181.1
ENSRNOG00000014185,Tktl2
ENSRNOG00000050854,LOC108348101
ENSRNOG00000033391,Ascl5
ENSRNOG00000038902,Rbis
