Gene stable ID,Zebrafish gene stable ID
ENSRNOG00000030644,ENSDARG00000063895
ENSRNOG00000031033,ENSDARG00000063899
ENSRNOG00000034234,ENSDARG00000063905
ENSRNOG00000030371,ENSDARG00000063908
ENSRNOG00000031979,ENSDARG00000063911
ENSRNOG00000030700,ENSDARG00000063912
ENSRNOG00000033615,ENSDARG00000063914
ENSRNOG00000029707,ENSDARG00000063917
ENSRNOG00000029971,ENSDARG00000063921
ENSRNOG00000029042,ENSDARG00000063922
ENSRNOG00000031766,ENSDARG00000063924
ENSRNOG00000018762,ENSDARG00000043470
ENSRNOG00000013102,ENSDARG00000044795
ENSRNOG00000013102,ENSDARG00000035506
ENSRNOG00000013102,ENSDARG00000033953
ENSRNOG00000058883,ENSDARG00000087489
ENSRNOG00000040242,ENSDARG00000059044
ENSRNOG00000007027,ENSDARG00000079076
ENSRNOG00000007027,ENSDARG00000045544
ENSRNOG00000035582,ENSDARG00000081224
ENSRNOG00000035582,ENSDARG00000086601
ENSRNOG00000014268,ENSDARG00000013500
ENSRNOG00000003508,ENSDARG00000100047
ENSRNOG00000014185,ENSDARG00000006019
ENSRNOG00000050854,ENSDARG00000060439
ENSRNOG00000050854,ENSDARG00000062427
ENSRNOG00000050854,ENSDARG00000104550
ENSRNOG00000038902,ENSDARG00000097630
ENSRNOG00000033540,ENSDARG00000089750
ENSRNOG00000033540,ENSDARG00000087651
ENSRNOG00000033540,ENSDARG00000007836
ENSRNOG00000033540,ENSDARG00000039173
ENSRNOG00000033540,ENSDARG00000095254
ENSRNOG00000033540,ENSDARG00000095072
ENSRNOG00000033540,ENSDARG00000089806
ENSRNOG00000033540,ENSDARG00000074306
ENSRNOG00000033540,ENSDARG00000095744
ENSRNOG00000033540,ENSDARG00000079376
ENSRNOG00000033540,ENSDARG00000100833
ENSRNOG00000033540,ENSDARG00000075527
ENSRNOG00000033540,ENSDARG00000011701
ENSRNOG00000033540,ENSDARG00000094559
ENSRNOG00000001452,ENSDARG00000035185
ENSRNOG00000001452,ENSDARG00000014673
ENSRNOG00000019804,ENSDARG00000001939
ENSRNOG00000042286,ENSDARG00000024471
ENSRNOG00000003073,ENSDARG00000058903
ENSRNOG00000003073,ENSDARG00000055659
ENSRNOG00000021693,ENSDARG00000073709
ENSRNOG00000005151,ENSDARG00000039770
ENSRNOG00000018567,ENSDARG00000020114
ENSRNOG00000018567,ENSDARG00000010641
ENSRNOG00000004356,ENSDARG00000090698
ENSRNOG00000004356,ENSDARG00000099937
ENSRNOG00000025619,ENSDARG00000054337
ENSRNOG00000039601,ENSDARG00000102365
ENSRNOG00000003633,ENSDARG00000009637
ENSRNOG00000003633,ENSDARG00000019902
ENSRNOG00000018767,ENSDARG00000031346
ENSRNOG00000027506,ENSDARG00000113246
ENSRNOG00000019575,ENSDARG00000071876
ENSRNOG00000000954,ENSDARG00000045342
ENSRNOG00000009450,ENSDARG00000074419
ENSRNOG00000009450,ENSDARG00000061685
ENSRNOG00000008345,ENSDARG00000032577
ENSRNOG00000047085,ENSDARG00000071374
ENSRNOG00000056247,ENSDARG00000081270
ENSRNOG00000057153,ENSDARG00000102176
ENSRNOG00000017265,ENSDARG00000056259
ENSRNOG00000009675,ENSDARG00000019383
ENSRNOG00000015850,ENSDARG00000070486
ENSRNOG00000010008,ENSDARG00000102569
ENSRNOG00000034107,ENSDARG00000038556
ENSRNOG00000016631,ENSDARG00000110991
ENSRNOG00000008519,ENSDARG00000055629
ENSRNOG00000008519,ENSDARG00000012816
ENSRNOG00000024331,ENSDARG00000021866
ENSRNOG00000047768,ENSDARG00000002084
ENSRNOG00000015415,ENSDARG00000025953
ENSRNOG00000037217,ENSDARG00000008014
ENSRNOG00000024801,ENSDARG00000058990
ENSRNOG00000026527,ENSDARG00000097193
ENSRNOG00000028518,ENSDARG00000070546
ENSRNOG00000019212,ENSDARG00000042793
ENSRNOG00000001430,ENSDARG00000035146
ENSRNOG00000002208,ENSDARG00000102180
ENSRNOG00000000693,ENSDARG00000056833
ENSRNOG00000054513,ENSDARG00000098683
ENSRNOG00000020182,ENSDARG00000021242
ENSRNOG00000035571,ENSDARG00000080081
ENSRNOG00000035571,ENSDARG00000083537
ENSRNOG00000028130,ENSDARG00000074066
ENSRNOG00000028130,ENSDARG00000079880
ENSRNOG00000045816,ENSDARG00000021352
ENSRNOG00000045816,ENSDARG00000032714
ENSRNOG00000021657,ENSDARG00000059951
ENSRNOG00000024707,ENSDARG00000017953
ENSRNOG00000011634,ENSDARG00000020443
ENSRNOG00000011634,ENSDARG00000043410
ENSRNOG00000011222,ENSDARG00000058454
ENSRNOG00000027343,ENSDARG00000100962
ENSRNOG00000057389,ENSDARG00000059695
