Gene stable ID,Mouse gene stable ID
ENSDARG00000063344,ENSMUSG00000019909
ENSDARG00000036008,ENSMUSG00000025468
ENSDARG00000069301,ENSMUSG00000036975
ENSDARG00000104901,ENSMUSG00000041084
ENSDARG00000031836,ENSMUSG00000048832
ENSDARG00000103391,ENSMUSG00000043463
ENSDARG00000030463,ENSMUSG00000014846
ENSDARG00000070447,ENSMUSG00000048833
ENSDARG00000036109,ENSMUSG00000064068
ENSDARG00000029612,ENSMUSG00000031148
ENSDARG00000075759,ENSMUSG00000021838
ENSDARG00000057635,ENSMUSG00000039715
ENSDARG00000032737,ENSMUSG00000001986
ENSDARG00000053517,ENSMUSG00000051166
ENSDARG00000015793,ENSMUSG00000027230
ENSDARG00000025206,ENSMUSG00000026452
ENSDARG00000076270,ENSMUSG00000014852
ENSDARG00000087916,ENSMUSG00000084845
ENSDARG00000023058,ENSMUSG00000052135
ENSDARG00000100738,ENSMUSG00000054263
ENSDARG00000067711,ENSMUSG00000022439
ENSDARG00000068468,ENSMUSG00000052273
ENSDARG00000078805,ENSMUSG00000049562
ENSDARG00000058893,ENSMUSG00000026162
ENSDARG00000062376,ENSMUSG00000091813
ENSDARG00000062376,ENSMUSG00000058019
ENSDARG00000062376,ENSMUSG00000056973
ENSDARG00000062376,ENSMUSG00000078964
ENSDARG00000062376,ENSMUSG00000057400
ENSDARG00000062376,ENSMUSG00000057074
ENSDARG00000062376,ENSMUSG00000074156
ENSDARG00000062376,ENSMUSG00000060560
ENSDARG00000020986,ENSMUSG00000038888
ENSDARG00000003175,ENSMUSG00000010110
ENSDARG00000033099,ENSMUSG00000050382
ENSDARG00000024184,ENSMUSG00000000056
ENSDARG00000009341,ENSMUSG00000049134
ENSDARG00000090804,ENSMUSG00000041762
ENSDARG00000016977,ENSMUSG00000028136
ENSDARG00000058538,ENSMUSG00000022636
ENSDARG00000102175,ENSMUSG00000056978
ENSDARG00000102175,ENSMUSG00000050440
ENSDARG00000018153,ENSMUSG00000020622
ENSDARG00000054533,ENSMUSG00000001127
ENSDARG00000038154,ENSMUSG00000021241
ENSDARG00000098726,ENSMUSG00000025583
ENSDARG00000037652,ENSMUSG00000039244
ENSDARG00000027963,ENSMUSG00000032936
ENSDARG00000011821,ENSMUSG00000032374
ENSDARG00000035875,ENSMUSG00000028786
ENSDARG00000057074,ENSMUSG00000031174
ENSDARG00000075181,ENSMUSG00000022971
ENSDARG00000075181,ENSMUSG00000020009
ENSDARG00000075181,ENSMUSG00000037157
ENSDARG00000077950,ENSMUSG00000026848
ENSDARG00000077950,ENSMUSG00000026849
ENSDARG00000079355,ENSMUSG00000047414
ENSDARG00000044251,ENSMUSG00000089809
ENSDARG00000003144,ENSMUSG00000029499
ENSDARG00000016968,ENSMUSG00000038828
ENSDARG00000090063,ENSMUSG00000033579
ENSDARG00000033789,ENSMUSG00000033938
ENSDARG00000017522,ENSMUSG00000033323
ENSDARG00000077860,ENSMUSG00000024483
ENSDARG00000077860,ENSMUSG00000117942
ENSDARG00000077860,ENSMUSG00000055204
ENSDARG00000045015,ENSMUSG00000006724
ENSDARG00000101490,ENSMUSG00000028849
ENSDARG00000008100,ENSMUSG00000030495
ENSDARG00000041340,ENSMUSG00000030335
ENSDARG00000045873,ENSMUSG00000020170
ENSDARG00000088072,ENSMUSG00000020905
ENSDARG00000045641,ENSMUSG00000032376
ENSDARG00000103025,ENSMUSG00000093930
ENSDARG00000061439,ENSMUSG00000035780
ENSDARG00000061439,ENSMUSG00000106677
ENSDARG00000061439,ENSMUSG00000107180
ENSDARG00000061439,ENSMUSG00000029268
ENSDARG00000061439,ENSMUSG00000090175
ENSDARG00000061439,ENSMUSG00000090165
ENSDARG00000061439,ENSMUSG00000089675
ENSDARG00000061439,ENSMUSG00000054545
ENSDARG00000061439,ENSMUSG00000090124
ENSDARG00000061439,ENSMUSG00000090145
ENSDARG00000061439,ENSMUSG00000090171
ENSDARG00000061439,ENSMUSG00000089943
ENSDARG00000052520,ENSMUSG00000050931
ENSDARG00000018542,ENSMUSG00000007594
ENSDARG00000074253,ENSMUSG00000045591
ENSDARG00000100858,ENSMUSG00000034219
ENSDARG00000062357,ENSMUSG00000059187
ENSDARG00000019135,ENSMUSG00000074771
ENSDARG00000068711,ENSMUSG00000022969
ENSDARG00000068711,ENSMUSG00000093701
ENSDARG00000043002,ENSMUSG00000020830
ENSDARG00000090854,ENSMUSG00000044847
ENSDARG00000056683,ENSMUSG00000028969
ENSDARG00000078567,ENSMUSG00000039633
ENSDARG00000021444,ENSMUSG00000037202
ENSDARG00000029263,ENSMUSG00000048763
ENSDARG00000030472,ENSMUSG00000045775
ENSDARG00000042515,ENSMUSG00000040133
ENSDARG00000042018,ENSMUSG00000008136
ENSDARG00000036943,ENSMUSG00000046519
ENSDARG00000015476,ENSMUSG00000037801
ENSDARG00000089954,ENSMUSG00000040140
ENSDARG00000002355,ENSMUSG00000005951
ENSDARG00000044457,ENSMUSG00000029275
ENSDARG00000087798,ENSMUSG00000027400
