Gene stable ID,Rat gene stable ID
ENSMUSG00000064370,ENSRNOG00000031766
ENSMUSG00000064368,ENSRNOG00000029042
ENSMUSG00000064367,ENSRNOG00000029971
ENSMUSG00000064363,ENSRNOG00000029707
ENSMUSG00000065947,ENSRNOG00000031053
ENSMUSG00000065947,ENSRNOG00000058589
ENSMUSG00000064360,ENSRNOG00000033615
ENSMUSG00000064358,ENSRNOG00000030700
ENSMUSG00000064357,ENSRNOG00000031979
ENSMUSG00000064356,ENSRNOG00000033299
ENSMUSG00000064354,ENSRNOG00000030371
ENSMUSG00000064351,ENSRNOG00000034234
ENSMUSG00000064345,ENSRNOG00000031033
ENSMUSG00000064341,ENSRNOG00000030644
ENSMUSG00000033970,ENSRNOG00000001088
ENSMUSG00000000632,ENSRNOG00000009350
ENSMUSG00000055730,ENSRNOG00000011330
ENSMUSG00000055730,ENSRNOG00000012034
ENSMUSG00000055730,ENSRNOG00000029744
ENSMUSG00000036097,ENSRNOG00000014482
ENSMUSG00000055447,ENSRNOG00000001964
ENSMUSG00000027887,ENSRNOG00000019780
ENSMUSG00000017670,ENSRNOG00000018747
ENSMUSG00000006356,ENSRNOG00000005041
ENSMUSG00000055491,ENSRNOG00000018561
ENSMUSG00000034083,ENSRNOG00000010090
ENSMUSG00000067787,ENSRNOG00000024437
ENSMUSG00000036144,ENSRNOG00000006588
ENSMUSG00000050860,ENSRNOG00000005569
ENSMUSG00000042446,ENSRNOG00000012397
ENSMUSG00000025469,ENSRNOG00000046776
ENSMUSG00000021534,ENSRNOG00000047406
ENSMUSG00000020482,ENSRNOG00000010706
ENSMUSG00000059278,ENSRNOG00000009823
ENSMUSG00000018381,ENSRNOG00000005575
ENSMUSG00000026697,ENSRNOG00000003221
ENSMUSG00000047361,ENSRNOG00000022723
ENSMUSG00000029401,ENSRNOG00000001061
ENSMUSG00000043310,ENSRNOG00000015444
ENSMUSG00000001755,ENSRNOG00000019918
ENSMUSG00000028687,ENSRNOG00000017887
ENSMUSG00000044795,ENSRNOG00000045742
ENSMUSG00000026209,ENSRNOG00000019772
ENSMUSG00000067750,ENSRNOG00000028595
ENSMUSG00000027225,ENSRNOG00000017805
ENSMUSG00000034723,ENSRNOG00000024852
ENSMUSG00000045377,ENSRNOG00000009870
ENSMUSG00000075142,ENSRNOG00000005880
ENSMUSG00000063334,ENSRNOG00000004035
ENSMUSG00000029402,ENSRNOG00000001060
ENSMUSG00000037514,ENSRNOG00000025286
ENSMUSG00000052837,ENSRNOG00000042838
ENSMUSG00000022468,ENSRNOG00000056446
ENSMUSG00000026963,ENSRNOG00000040275
ENSMUSG00000061080,ENSRNOG00000031852
ENSMUSG00000027224,ENSRNOG00000018005
ENSMUSG00000052926,ENSRNOG00000003504
ENSMUSG00000040187,ENSRNOG00000001830
ENSMUSG00000020713,ENSRNOG00000011207
ENSMUSG00000020658,ENSRNOG00000012950
ENSMUSG00000026021,ENSRNOG00000016133
ENSMUSG00000028863,ENSRNOG00000009309
ENSMUSG00000035711,ENSRNOG00000013564
ENSMUSG00000029049,ENSRNOG00000014642
ENSMUSG00000057000,ENSRNOG00000028751
ENSMUSG00000038611,ENSRNOG00000017299
ENSMUSG00000040592,ENSRNOG00000011917
ENSMUSG00000023992,ENSRNOG00000013578
ENSMUSG00000034957,ENSRNOG00000010918
ENSMUSG00000026663,ENSRNOG00000024632
ENSMUSG00000090777,ENSRNOG00000042711
ENSMUSG00000074736,ENSRNOG00000031536
ENSMUSG00000038116,ENSRNOG00000019948
ENSMUSG00000056888,ENSRNOG00000026644
ENSMUSG00000032551,ENSRNOG00000004135
ENSMUSG00000029076,ENSRNOG00000019981
ENSMUSG00000052488,ENSRNOG00000012323
ENSMUSG00000001027,ENSRNOG00000012134
ENSMUSG00000035200,ENSRNOG00000014427
ENSMUSG00000062793,ENSRNOG00000005921
ENSMUSG00000018401,ENSRNOG00000007496
ENSMUSG00000028830,ENSRNOG00000012204
ENSMUSG00000045019,ENSRNOG00000047368
ENSMUSG00000026835,ENSRNOG00000009342
ENSMUSG00000026734,ENSRNOG00000021898
ENSMUSG00000023330,ENSRNOG00000009593
ENSMUSG00000035356,ENSRNOG00000031163
ENSMUSG00000026659,ENSRNOG00000003100
ENSMUSG00000037148,ENSRNOG00000013152
ENSMUSG00000002660,ENSRNOG00000047052
ENSMUSG00000038179,ENSRNOG00000023209
ENSMUSG00000020102,ENSRNOG00000007839
ENSMUSG00000026388,ENSRNOG00000045570
ENSMUSG00000037536,ENSRNOG00000011704
ENSMUSG00000002661,ENSRNOG00000047089
ENSMUSG00000023333,ENSRNOG00000007932
ENSMUSG00000094559,ENSRNOG00000029128
ENSMUSG00000024076,ENSRNOG00000004706
ENSMUSG00000054892,ENSRNOG00000025925
ENSMUSG00000062148,ENSRNOG00000031445
ENSMUSG00000062148,ENSRNOG00000050295
ENSMUSG00000062148,ENSRNOG00000053457
ENSMUSG00000055817,ENSRNOG00000004685
ENSMUSG00000002664,ENSRNOG00000049171
ENSMUSG00000022043,ENSRNOG00000009449
ENSMUSG00000118516,ENSRNOG00000029179
ENSMUSG00000070524,ENSRNOG00000003135
ENSMUSG00000025498,ENSRNOG00000017414
ENSMUSG00000031250,ENSRNOG00000060970
ENSMUSG00000068134,ENSRNOG00000006112
ENSMUSG00000022913,ENSRNOG00000001643
ENSMUSG00000021945,ENSRNOG00000008734
ENSMUSG00000043415,ENSRNOG00000016950
ENSMUSG00000006014,ENSRNOG00000002385
ENSMUSG00000052785,ENSRNOG00000047871
ENSMUSG00000032564,ENSRNOG00000026577
ENSMUSG00000050445,ENSRNOG00000019481
ENSMUSG00000038421,ENSRNOG00000003136
