Gene stable ID,Human gene stable ID
ENSDARG00000063344,ENSG00000183807
ENSDARG00000036008,ENSG00000130643
ENSDARG00000069301,ENSG00000144120
ENSDARG00000104901,ENSG00000198856
ENSDARG00000031836,ENSG00000167987
ENSDARG00000103391,ENSG00000123570
ENSDARG00000030463,ENSG00000159713
ENSDARG00000070447,ENSG00000029364
ENSDARG00000036109,ENSG00000173171
ENSDARG00000029612,ENSG00000068394
ENSDARG00000075759,ENSG00000020577
ENSDARG00000057635,ENSG00000119333
ENSDARG00000032737,ENSG00000125675
ENSDARG00000053517,ENSG00000165521
ENSDARG00000015793,ENSG00000157613
ENSDARG00000025206,ENSG00000143858
ENSDARG00000076270,ENSG00000160323
ENSDARG00000087916,ENSG00000205090
ENSDARG00000023058,ENSG00000204060
ENSDARG00000100738,ENSG00000113594
ENSDARG00000067711,ENSG00000138964
ENSDARG00000068468,ENSG00000158486
ENSDARG00000078805,ENSG00000254470
ENSDARG00000058893,ENSG00000187736
ENSDARG00000062376,ENSG00000159398
ENSDARG00000062376,ENSG00000198848
ENSDARG00000062376,ENSG00000172824
ENSDARG00000020986,ENSG00000142544
ENSDARG00000003175,ENSG00000162236
ENSDARG00000033099,ENSG00000166813
ENSDARG00000024184,ENSG00000141562
ENSDARG00000009341,ENSG00000197893
ENSDARG00000090804,ENSG00000163328
ENSDARG00000016977,ENSG00000143376
ENSDARG00000058538,ENSG00000170017
ENSDARG00000102175,ENSG00000105697
ENSDARG00000018153,ENSG00000185013
ENSDARG00000018153,ENSG00000250741
ENSDARG00000054533,ENSG00000078061
ENSDARG00000038154,ENSG00000165898
ENSDARG00000098726,ENSG00000141564
ENSDARG00000037652,ENSG00000146576
ENSDARG00000027963,ENSG00000164076
ENSDARG00000011821,ENSG00000152952
ENSDARG00000035875,ENSG00000121900
ENSDARG00000057074,ENSG00000156313
ENSDARG00000075181,ENSG00000159110
ENSDARG00000075181,ENSG00000249624
ENSDARG00000075181,ENSG00000027697
ENSDARG00000075181,ENSG00000142677
ENSDARG00000077950,ENSG00000136827
ENSDARG00000077950,ENSG00000136816
ENSDARG00000079355,ENSG00000185070
ENSDARG00000044251,ENSG00000138670
ENSDARG00000003144,ENSG00000176894
ENSDARG00000016968,ENSG00000119777
ENSDARG00000090063,ENSG00000103089
ENSDARG00000033789,ENSG00000099795
ENSDARG00000017522,ENSG00000060069
ENSDARG00000077860,ENSG00000131503
ENSDARG00000077860,ENSG00000254996
ENSDARG00000077860,ENSG00000132466
ENSDARG00000045015,ENSG00000111012
ENSDARG00000101490,ENSG00000116871
ENSDARG00000008100,ENSG00000130876
ENSDARG00000041340,ENSG00000111639
ENSDARG00000045873,ENSG00000166225
ENSDARG00000088072,ENSG00000154914
ENSDARG00000045641,ENSG00000140455
ENSDARG00000103025,ENSG00000112972
ENSDARG00000061439,ENSG00000135220
ENSDARG00000061439,ENSG00000171234
ENSDARG00000061439,ENSG00000156096
ENSDARG00000061439,ENSG00000196620
ENSDARG00000061439,ENSG00000197888
ENSDARG00000061439,ENSG00000173610
ENSDARG00000061439,ENSG00000271271
ENSDARG00000061439,ENSG00000242366
ENSDARG00000061439,ENSG00000242515
ENSDARG00000061439,ENSG00000244122
ENSDARG00000061439,ENSG00000241119
ENSDARG00000061439,ENSG00000167165
ENSDARG00000061439,ENSG00000145626
ENSDARG00000061439,ENSG00000109181
ENSDARG00000061439,ENSG00000135226
ENSDARG00000061439,ENSG00000213759
ENSDARG00000061439,ENSG00000240224
ENSDARG00000061439,ENSG00000243135
ENSDARG00000061439,ENSG00000244474
ENSDARG00000052520,ENSG00000164023
ENSDARG00000018542,ENSG00000187664
ENSDARG00000074253,ENSG00000177468
ENSDARG00000100858,ENSG00000154997
ENSDARG00000062357,ENSG00000183662
ENSDARG00000019135,ENSG00000132623
ENSDARG00000068711,ENSG00000243646
ENSDARG00000043002,ENSG00000182853
ENSDARG00000090854,ENSG00000155858
ENSDARG00000056683,ENSG00000164885
ENSDARG00000078567,ENSG00000154359
ENSDARG00000021444,ENSG00000180644
ENSDARG00000029263,ENSG00000120093
ENSDARG00000030472,ENSG00000170190
ENSDARG00000042515,ENSG00000166073
ENSDARG00000042018,ENSG00000115641
ENSDARG00000036943,ENSG00000143457
ENSDARG00000015476,ENSG00000103599
ENSDARG00000089954,ENSG00000180113
ENSDARG00000002355,ENSG00000197417
ENSDARG00000002355,ENSG00000262304
ENSDARG00000044457,ENSG00000162676
ENSDARG00000087798,ENSG00000101327
ENSDARG00000093521,ENSG00000179913
