Gene stable ID,Rat gene stable ID
ENSG00000198888,ENSRNOG00000030644
ENSG00000198763,ENSRNOG00000031033
ENSG00000198804,ENSRNOG00000034234
ENSG00000198712,ENSRNOG00000030371
ENSG00000228253,ENSRNOG00000033299
ENSG00000198899,ENSRNOG00000031979
ENSG00000198938,ENSRNOG00000030700
ENSG00000198840,ENSRNOG00000033615
ENSG00000212907,ENSRNOG00000031053
ENSG00000212907,ENSRNOG00000058589
ENSG00000198886,ENSRNOG00000029707
ENSG00000198786,ENSRNOG00000029971
ENSG00000198695,ENSRNOG00000029042
ENSG00000198727,ENSRNOG00000031766
ENSG00000208004,ENSRNOG00000050020
ENSG00000223158,ENSRNOG00000056311
ENSG00000207782,ENSRNOG00000035560
ENSG00000278817,ENSRNOG00000001880
ENSG00000200237,ENSRNOG00000057605
ENSG00000200237,ENSRNOG00000053152
ENSG00000200237,ENSRNOG00000058078
ENSG00000200237,ENSRNOG00000057898
ENSG00000200237,ENSRNOG00000055186
ENSG00000200237,ENSRNOG00000054518
ENSG00000200237,ENSRNOG00000058395
ENSG00000200237,ENSRNOG00000053018
ENSG00000200237,ENSRNOG00000056072
ENSG00000200237,ENSRNOG00000058009
ENSG00000200237,ENSRNOG00000052274
ENSG00000200237,ENSRNOG00000052517
ENSG00000200237,ENSRNOG00000061867
ENSG00000200237,ENSRNOG00000056004
ENSG00000200237,ENSRNOG00000051714
ENSG00000200237,ENSRNOG00000056899
ENSG00000200237,ENSRNOG00000054115
ENSG00000200237,ENSRNOG00000053071
ENSG00000200237,ENSRNOG00000055926
ENSG00000200237,ENSRNOG00000061762
ENSG00000200237,ENSRNOG00000057766
ENSG00000252213,ENSRNOG00000059564
ENSG00000263776,ENSRNOG00000056026
ENSG00000207808,ENSRNOG00000035597
ENSG00000207099,ENSRNOG00000055162
ENSG00000207083,ENSRNOG00000061598
ENSG00000201003,ENSRNOG00000059872
ENSG00000207087,ENSRNOG00000061709
ENSG00000207169,ENSRNOG00000054510
ENSG00000199169,ENSRNOG00000048336
ENSG00000252139,ENSRNOG00000051481
ENSG00000274062,ENSRNOG00000054769
ENSG00000274062,ENSRNOG00000061083
ENSG00000274062,ENSRNOG00000056256
ENSG00000274062,ENSRNOG00000057955
ENSG00000252821,ENSRNOG00000052986
